id,male,female,meaning_en,meaning_it,source
109,,Eyrgjafa,Wet sand dispenser,Dispensatrice di sabbia umida,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
110,,Ulfrun,Rune of the wolf,Runa del lupo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
111,,Angeyja,She who oppresses,Colei che opprime,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
112,,Imd,Grey like a wolf,Grigia come un lupo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
112,,Atla,She who aspires to fight,Colei che aspira alla lotta,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
113,,Jarnsaxa,With the iron knife,Con il coltello di ferro,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
114,Mogthrasir,,He who desires children,Colui che desidera figli,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
115,Neri,,Strong man,Uomo forte,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
116,,Angrboda,Omen of evil,Presagio del male,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
117,Farbauti,,He who strikes dangerously,Colui che colpisce pericolosamente,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
118,Hvedrungr,,Resonant,Risonante,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
119,Hrymr,,Frozen,Congelato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
120,Thokk,,Benevolence (in an ironic sense),Benevolenza (in senso ironico),Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330:341.
121,Midi,,Median,Mediano,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
122,Midjungr,,Being from the middle world,Essere del mondo di mezzo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
123,Skrymir,,He who boasts,Colui che si vanta,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
